[00:00:00.003] (639c) INFO   Max Width: 512, Max_Height: 193
[00:00:00.015] (639c) INFO   Unicode: 9618, Char: ▒ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0, 0.8341969), (0.03125, 1)
[00:00:00.020] (639c) INFO   Unicode: 9619, Char: ▓ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.041015625, 0.8341969), (0.072265625, 1)
[00:00:00.021] (639c) INFO   Unicode: 9532, Char: ┼ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.08203125, 0.8341969), (0.11328125, 1)
[00:00:00.023] (639c) INFO   Unicode: 9580, Char: ╬ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.123046875, 0.8341969), (0.15429688, 1)
[00:00:00.024] (639c) INFO   Unicode: 9579, Char: ╫ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.1640625, 0.8341969), (0.1953125, 1)
[00:00:00.026] (639c) INFO   Unicode: 9578, Char: ╪ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.20507813, 0.8341969), (0.23632813, 1)
[00:00:00.026] (639c) INFO   Unicode: 9608, Char: █ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.24609375, 0.8341969), (0.27734375, 1)
[00:00:00.031] (639c) INFO   Unicode: 9617, Char: ░ | Metrics: (446, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.28710938, 0.8341969), (0.31445313, 1)
[00:00:00.032] (639c) INFO   Unicode: 9570, Char: ╢ | Metrics: (351, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.32421875, 0.8341969), (0.34570313, 1)
[00:00:00.033] (639c) INFO   Unicode: 9571, Char: ╣ | Metrics: (351, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.35546875, 0.8341969), (0.37695313, 1)
[00:00:00.034] (639c) INFO   Unicode: 9567, Char: ╟ | Metrics: (351, 1010) | Bearings: (153, 660) | Advance: 500 | BoundingBox: (0.38671875, 0.8341969), (0.40820313, 1)
[00:00:00.035] (639c) INFO   Unicode: 9568, Char: ╠ | Metrics: (351, 1010) | Bearings: (153, 660) | Advance: 500 | BoundingBox: (0.41796875, 0.8341969), (0.43945313, 1)
[00:00:00.035] (639c) INFO   Unicode: 9508, Char: ┤ | Metrics: (287, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.44921875, 0.8341969), (0.46679688, 1)
[00:00:00.036] (639c) INFO   Unicode: 9569, Char: ╡ | Metrics: (287, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.4765625, 0.8341969), (0.49414063, 1)
[00:00:00.036] (639c) INFO   Unicode: 9500, Char: ├ | Metrics: (287, 1010) | Bearings: (217, 660) | Advance: 500 | BoundingBox: (0.50390625, 0.8341969), (0.5214844, 1)
[00:00:00.037] (639c) INFO   Unicode: 9566, Char: ╞ | Metrics: (287, 1010) | Bearings: (217, 660) | Advance: 500 | BoundingBox: (0.53125, 0.8341969), (0.5488281, 1)
[00:00:00.037] (639c) INFO   Unicode: 9612, Char: ▌ | Metrics: (255, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0.55859375, 0.8341969), (0.57421875, 1)
[00:00:00.038] (639c) INFO   Unicode: 9616, Char: ▐ | Metrics: (255, 1010) | Bearings: (250, 660) | Advance: 500 | BoundingBox: (0.5839844, 0.8341969), (0.5996094, 1)
[00:00:00.038] (639c) INFO   Unicode: 9553, Char: ║ | Metrics: (192, 1010) | Bearings: (153, 660) | Advance: 500 | BoundingBox: (0.609375, 0.8341969), (0.62109375, 1)
[00:00:00.038] (639c) INFO   Unicode: 9474, Char: │ | Metrics: (64, 1010) | Bearings: (217, 660) | Advance: 500 | BoundingBox: (0.6308594, 0.8341969), (0.6347656, 1)
[00:00:00.039] (639c) INFO   Unicode: 40, Char: ( | Metrics: (273, 868) | Bearings: (113, 534) | Advance: 500 | BoundingBox: (0.64453125, 0.8601036), (0.6621094, 1)
[00:00:00.040] (639c) INFO   Unicode: 41, Char: ) | Metrics: (273, 868) | Bearings: (113, 534) | Advance: 500 | BoundingBox: (0.671875, 0.8601036), (0.6894531, 1)
[00:00:00.040] (639c) INFO   Unicode: 47, Char: / | Metrics: (362, 864) | Bearings: (69, 534) | Advance: 500 | BoundingBox: (0.69921875, 0.8601036), (0.7207031, 1)
[00:00:00.041] (639c) INFO   Unicode: 92, Char: \ | Metrics: (360, 864) | Bearings: (70, 534) | Advance: 500 | BoundingBox: (0.73046875, 0.8601036), (0.7519531, 1)
[00:00:00.042] (639c) INFO   Unicode: 123, Char: { | Metrics: (348, 864) | Bearings: (79, 534) | Advance: 500 | BoundingBox: (0.76171875, 0.8601036), (0.7832031, 1)
[00:00:00.044] (639c) INFO   Unicode: 125, Char: } | Metrics: (348, 864) | Bearings: (73, 534) | Advance: 500 | BoundingBox: (0.79296875, 0.8601036), (0.8144531, 1)
[00:00:00.044] (639c) INFO   Unicode: 91, Char: [ | Metrics: (239, 864) | Bearings: (143, 534) | Advance: 500 | BoundingBox: (0.82421875, 0.8601036), (0.8378906, 1)
[00:00:00.045] (639c) INFO   Unicode: 93, Char: ] | Metrics: (239, 864) | Bearings: (118, 534) | Advance: 500 | BoundingBox: (0.84765625, 0.8601036), (0.8613281, 1)
